gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,hasFamily_Yes,SeniorCitizen,AvgMonthlyCost,Churn
0,0,0,0,0,1,0,0,0,0,1,1,0,63.66,No
0,0,1,1,0,0,1,1,0,0,0,0,0,94.99,No
1,1,0,0,0,0,0,1,0,1,0,1,0,23.45,Yes
1,0,0,1,0,0,0,1,0,1,0,0,0,59.49,Yes
1,0,1,0,0,0,1,1,0,0,0,1,0,64.91465504978663,No
1,0,0,1,0,0,0,1,0,1,0,0,0,74.48,No
1,0,0,0,1,0,1,0,0,0,1,1,0,19.19,No
1,0,0,0,1,0,1,1,1,0,0,1,0,19.65,No
1,1,0,0,0,0,0,1,0,1,0,0,0,38.6,Yes
1,0,0,0,1,1,0,1,0,0,0,1,0,21.95,No
1,0,0,1,0,0,0,1,0,1,0,1,1,70.23,Yes
0,0,1,0,0,0,0,1,0,1,0,0,1,68.05,No
1,0,0,0,1,1,0,0,1,0,0,0,1,18.37,No
0,0,1,1,0,1,0,0,0,0,0,1,0,105.71,No
0,1,0,0,0,0,1,0,0,0,1,0,0,39.9,No
0,1,0,0,0,0,1,1,0,0,1,0,0,52.81,No
0,0,1,1,0,1,0,1,1,0,0,1,0,104.85,No
0,0,0,0,0,0,1,1,1,0,0,1,0,80.35,No
0,0,1,0,1,0,1,1,0,0,0,1,0,24.09,No
1,1,0,0,0,1,0,0,1,0,0,1,0,55.17,No
1,0,0,0,0,0,0,0,0,0,1,0,0,63.03,No
1,0,1,1,0,0,1,0,1,0,0,1,1,109.7,No
1,0,1,0,0,0,1,1,1,0,0,1,0,89.47,No
0,0,1,0,0,1,0,1,1,0,0,1,0,75.93,No
0,1,0,0,0,1,0,1,0,1,0,0,0,55.92,No
1,0,0,0,1,1,0,0,0,0,0,0,1,20.45,No
0,0,0,1,0,0,0,1,0,1,0,0,1,91.24,Yes
1,0,0,1,0,0,0,0,0,1,0,1,1,72.04,No
0,0,1,1,0,0,1,1,1,0,0,0,0,102.58,No
0,0,0,1,0,1,0,1,0,0,0,0,1,89.7,No
